run_id,data_type,component,duration_sec,epoch,detail
20260603T061540Z,cold_start,io_load_train_val_test_csv,2.308026,,rows train=580190 val=4579 test=13961
20260603T061540Z,cold_start,data_concat_and_id_mappings,0.139828,,n_users=50000 n_items=258584
20260603T061540Z,cold_start,data_build_item_title_texts,6.215618,,n_asin_texts=258584
20260603T061540Z,cold_start,data_user_histories_and_train_val_examples,11.232563,,n_train_examples=36039 n_val_examples=4579
20260603T061540Z,cold_start,hf_tokenizer_from_pretrained,0.229747,,distilgpt2
20260603T061540Z,cold_start,hf_lm_from_pretrained_and_wrap_gpt4rec_generation_model,4.06723,,distilgpt2
20260603T061540Z,cold_start,device_resolve_and_model_to_device,0.269685,,mps
20260603T061540Z,cold_start,bm25_index_build_and_ranker_init,0.476394,,n_indexed_items=258584
20260603T061540Z,cold_start,prompting_build_history_prompts_train_texts,0.041418,,n_val_prompts=4579 n_train_texts=36039
20260603T061540Z,cold_start,in_train_eval_metrics_init_and_val_subsample,0.002324,,val_cap=512 sampled_val_users=512
20260603T061540Z,cold_start,lm_tokenize_encode_and_build_dataloader,7.384677,,max_len=50 batch_size=128 n_train_texts=36039
20260603T061540Z,cold_start,lm_epoch_optimizer_forward_backward,1042.585496,1,n_batches=282
20260603T061540Z,cold_start,eval_run_setup_params,0.000654,,in_train_val_epoch_1; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,eval_batch_prompt_tokenize,0.221564,,in_train_val_epoch_1; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,eval_lm_beam_generate,31.0368,,in_train_val_epoch_1; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,eval_decode_queries_bm25_aggregate_rank,282.880976,,in_train_val_epoch_1; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,eval_with_bm25_total,314.139994,,in_train_val_epoch_1; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,in_train_write_train_curves_and_plots,0.69021,1,eval_metrics append + png refresh
20260603T061540Z,cold_start,lm_epoch_on_epoch_end_callback,314.994881,1,includes in-training eval + write_train_curves when scheduled
20260603T061540Z,cold_start,lm_epoch_optimizer_forward_backward,3304.371786,2,n_batches=282
20260603T061540Z,cold_start,eval_run_setup_params,0.001204,,in_train_val_epoch_2; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,eval_batch_prompt_tokenize,0.172175,,in_train_val_epoch_2; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
20260603T061540Z,cold_start,eval_lm_beam_generate,31.456812,,in_train_val_epoch_2; n_users=512 infer_bs=8 num_beams=2 num_queries=2 search_top_k=50 k1=1.2 b=0.75 top_summaries=15
